id,tag,profile,province,contribution,location,withdrawal,market,savings_rate,oas_defer,cpp_start,split_frac,spending_curve,seed,tw_gross,tw_after_tax,tw_pv,lifetime_tax,lifetime_benefits
107,grid,young_pro,AB,conventional,tax_optimized,oas_preservation,bear,0.15,0,65,0.0,flat,42,557018.86,332308.6,53165.96,1032537.52,245104.01999999996
108,grid,young_pro,AB,conventional,tax_optimized,oas_preservation,stochastic,0.15,0,65,0.0,flat,42,8080646.6,6869052.3,1098977.73,4054469.7800000003,88740.0
109,grid,young_pro,AB,conventional,tax_optimized,tfsa_last,base,0.15,0,65,0.0,flat,42,2458559.68,2035668.91,325686.09,1348115.6200000003,102534.48
110,grid,young_pro,AB,conventional,tax_optimized,tfsa_last,bull,0.15,0,65,0.0,flat,42,7636883.78,7029780.53,1124692.59,1633457.3,53448.0
111,grid,young_pro,AB,conventional,tax_optimized,tfsa_last,bear,0.15,0,65,0.0,flat,42,836530.49,641254.4,102594.11,1013941.9,236065.0
112,grid,young_pro,AB,conventional,tax_optimized,tfsa_last,stochastic,0.15,0,65,0.0,flat,42,8520700.95,7344312.92,1175014.54,3995731.0500000007,53448.0
113,grid,young_pro,AB,conventional,tax_optimized,early_rrif,base,0.15,0,65,0.0,flat,42,2231107.18,1917393.61,306763.26,1237935.51,175100.42999999996
114,grid,young_pro,AB,conventional,tax_optimized,early_rrif,bull,0.15,0,65,0.0,flat,42,7280047.2,6844225.51,1095005.7,1444453.8000000003,86280.12000000001
115,grid,young_pro,AB,conventional,tax_optimized,early_rrif,bear,0.15,0,65,0.0,flat,42,757914.84,600374.26,96053.71,977016.6599999999,236065.0
116,grid,young_pro,AB,conventional,tax_optimized,early_rrif,stochastic,0.15,0,65,0.0,flat,42,7746989.74,6941983.09,1110645.91,3514031.6399999997,0.0
117,grid,young_pro,AB,conventional,tax_optimized,balanced_draw,base,0.15,0,65,0.0,flat,42,2326772.07,1967139.35,314722.07,1290391.4,138477.03999999998
118,grid,young_pro,AB,conventional,tax_optimized,balanced_draw,bull,0.15,0,65,0.0,flat,42,7430207.89,6922309.07,1107498.26,1533902.08,40320.450000000004
119,grid,young_pro,AB,conventional,tax_optimized,balanced_draw,bear,0.15,0,65,0.0,flat,42,790797.88,617473.44,98789.4,996943.8900000001,236065.0
120,grid,young_pro,AB,conventional,tax_optimized,balanced_draw,stochastic,0.15,0,65,0.0,flat,42,8067308.86,7108549.03,1137294.74,3726480.08,26724.0
121,grid,young_pro,AB,conventional,reits_sheltered,nonreg_first,base,0.15,0,65,0.0,flat,42,3268709.62,2456946.88,393086.23,1784019.3700000003,53448.0
122,grid,young_pro,AB,conventional,reits_sheltered,nonreg_first,bull,0.15,0,65,0.0,flat,42,9697070.23,8101077.48,1296089.09,2893706.8100000005,53448.0
123,grid,young_pro,AB,conventional,reits_sheltered,nonreg_first,bear,0.15,0,65,0.0,flat,42,1038264.66,746156.16,119377.31,1105008.88,209049.24
124,grid,young_pro,AB,conventional,reits_sheltered,nonreg_first,stochastic,0.15,0,65,0.0,flat,42,13541120.16,11308329.37,1809216.41,5787879.61,53448.0
125,grid,young_pro,AB,conventional,reits_sheltered,rrif_meltdown,base,0.15,0,65,0.0,flat,42,2993969.77,2314082.16,370229.35,1684498.8299999998,38330.29
126,grid,young_pro,AB,conventional,reits_sheltered,rrif_meltdown,bull,0.15,0,65,0.0,flat,42,9078046.44,7779185.11,1244589.62,2603114.7700000005,4171.67
127,grid,young_pro,AB,conventional,reits_sheltered,rrif_meltdown,bear,0.15,0,65,0.0,flat,42,973662.04,712562.8,114002.72,1098844.29,228941.40000000005
128,grid,young_pro,AB,conventional,reits_sheltered,rrif_meltdown,stochastic,0.15,0,65,0.0,flat,42,12493032.44,10763323.75,1722021.11,5432951.559999999,0.0
129,grid,young_pro,AB,conventional,reits_sheltered,oas_preservation,base,0.15,0,65,0.0,flat,42,2534490.97,1626430.82,260212.21,1889595.9199999995,88740.0
